Rk,Score,PtsW,PtsL
1328,69-63,69,63
1329,69-64,69,64
1330,69-65,69,65
1331,69-66,69,66
1332,69-67,69,67
1333,69-68,69,68
1334,69-69,69,69
1335,70-0,70,0
1336,70-2,70,2
1337,70-3,70,3
1338,70-4,70,4
1339,70-5,70,5
1340,70-6,70,6
1341,70-7,70,7
1342,70-8,70,8
1343,70-9,70,9
1344,70-10,70,10
1345,70-11,70,11
1346,70-12,70,12
1347,70-13,70,13
1348,70-14,70,14
1349,70-15,70,15
1350,70-16,70,16
1351,70-17,70,17
1352,70-18,70,18
1353,70-19,70,19
1354,70-21,70,21
1355,70-22,70,22
1356,70-23,70,23
1357,70-24,70,24
1358,70-25,70,25
1359,70-26,70,26
1360,70-28,70,28
1361,70-29,70,29
1362,70-30,70,30
1363,70-31,70,31
1364,70-32,70,32
1365,70-33,70,33
1366,70-34,70,34
1367,70-35,70,35
1368,70-36,70,36
1369,70-37,70,37
1370,70-38,70,38
1371,70-39,70,39
1372,70-40,70,40
1373,70-41,70,41
1374,70-42,70,42
1375,70-43,70,43
1376,70-44,70,44
1377,70-45,70,45
1378,70-46,70,46
1379,70-47,70,47
1380,70-48,70,48
1381,70-49,70,49
1382,70-50,70,50
1383,70-51,70,51
1384,70-52,70,52
1385,70-53,70,53
1386,70-54,70,54
1387,70-55,70,55
1388,70-56,70,56
1389,70-57,70,57
1390,70-58,70,58
1391,70-59,70,59
1392,70-60,70,60
1393,70-61,70,61
1394,70-62,70,62
1395,70-63,70,63
1396,70-64,70,64
1397,70-65,70,65
1398,70-66,70,66
1399,70-67,70,67
1400,70-68,70,68
1401,70-69,70,69
1402,70-70,70,70
