Rk,Score,PtsW,PtsL
319,50-44,50,44
320,50-45,50,45
321,50-46,50,46
322,50-47,50,47
323,50-48,50,48
324,50-49,50,49
325,50-50,50,50
326,51-2,51,2
327,51-4,51,4
328,51-5,51,5
329,51-6,51,6
330,51-8,51,8
331,51-9,51,9
332,51-11,51,11
333,51-12,51,12
334,51-15,51,15
335,51-18,51,18
336,51-19,51,19
337,51-22,51,22
338,51-25,51,25
339,51-30,51,30
340,51-32,51,32
341,51-33,51,33
342,51-36,51,36
343,51-37,51,37
344,51-39,51,39
345,51-40,51,40
346,51-41,51,41
347,51-43,51,43
348,51-44,51,44
349,51-46,51,46
350,51-47,51,47
351,51-49,51,49
352,51-50,51,50
353,51-51,51,51
354,52-2,52,2
355,52-4,52,4
356,52-5,52,5
357,52-6,52,6
358,52-8,52,8
359,52-11,52,11
360,52-12,52,12
361,52-15,52,15
362,52-16,52,16
363,52-18,52,18
364,52-22,52,22
365,52-23,52,23
366,52-26,52,26
367,52-29,52,29
368,52-30,52,30
369,52-32,52,32
370,52-36,52,36
371,52-39,52,39
372,52-40,52,40
373,52-41,52,41
374,52-42,52,42
375,52-43,52,43
376,52-44,52,44
377,52-45,52,45
378,52-46,52,46
379,52-47,52,47
380,52-48,52,48
381,52-50,52,50
382,52-51,52,51
383,52-52,52,52
384,53-2,53,2
385,53-3,53,3
386,53-4,53,4
387,53-5,53,5
388,53-6,53,6
389,53-8,53,8
390,53-9,53,9
391,53-11,53,11
392,53-12,53,12
393,53-13,53,13
394,53-15,53,15
395,53-16,53,16
396,53-17,53,17
397,53-18,53,18
398,53-19,53,19
399,53-21,53,21
400,53-22,53,22
401,53-23,53,23
402,53-24,53,24
403,53-25,53,25
404,53-26,53,26
405,53-28,53,28
406,53-29,53,29
407,53-30,53,30
408,53-31,53,31
409,53-33,53,33
410,53-34,53,34
411,53-35,53,35
412,53-36,53,36
413,53-37,53,37
414,53-38,53,38
415,53-39,53,39
416,53-40,53,40
417,53-41,53,41
418,53-42,53,42
419,53-43,53,43
420,53-44,53,44
421,53-45,53,45
422,53-46,53,46
423,53-47,53,47
424,53-48,53,48
425,53-49,53,49
426,53-50,53,50
427,53-51,53,51
428,53-52,53,52
429,53-53,53,53
430,54-2,54,2
431,54-3,54,3
432,54-4,54,4
433,54-5,54,5
434,54-6,54,6
435,54-8,54,8
436,54-9,54,9
437,54-10,54,10
438,54-12,54,12
439,54-15,54,15
440,54-16,54,16
441,54-17,54,17
442,54-18,54,18
443,54-20,54,20
444,54-21,54,21
445,54-22,54,22
446,54-23,54,23
447,54-25,54,25
448,54-26,54,26
449,54-27,54,27
450,54-28,54,28
451,54-29,54,29
452,54-30,54,30
453,54-32,54,32
454,54-33,54,33
455,54-35,54,35
456,54-36,54,36
457,54-37,54,37
458,54-38,54,38
459,54-39,54,39
460,54-40,54,40
461,54-41,54,41
462,54-42,54,42
463,54-43,54,43
464,54-45,54,45
465,54-46,54,46
466,54-47,54,47
467,54-48,54,48
468,54-49,54,49
469,54-50,54,50
470,54-52,54,52
471,54-53,54,53
472,54-54,54,54
473,55-2,55,2
474,55-3,55,3
475,55-4,55,4
476,55-5,55,5
477,55-6,55,6
478,55-8,55,8
479,55-9,55,9
480,55-11,55,11
481,55-12,55,12
482,55-15,55,15
483,55-16,55,16
484,55-18,55,18
485,55-19,55,19
486,55-22,55,22
487,55-25,55,25
488,55-26,55,26
489,55-28,55,28
490,55-29,55,29
491,55-30,55,30
492,55-32,55,32
493,55-33,55,33
494,55-34,55,34
495,55-35,55,35
496,55-36,55,36
497,55-37,55,37
498,55-38,55,38
499,55-39,55,39
500,55-41,55,41
501,55-42,55,42
502,55-43,55,43
503,55-44,55,44
504,55-45,55,45
505,55-46,55,46
506,55-47,55,47
507,55-48,55,48
508,55-49,55,49
509,55-50,55,50
510,55-51,55,51
511,55-52,55,52
512,55-53,55,53
513,55-54,55,54
